Algorithm,Lines,SortedTime(ns),ShuffledTime(ns),ReversedTime(ns)
transposition,1201,124000,38988083,26709333
transposition,1251,124709,38336458,6643208
transposition,1301,135375,43719959,23673708
transposition,1351,139834,39107958,25364625
transposition,1401,138292,48068625,26841375
transposition,1451,144875,33096208,23688375
transposition,1501,153791,35071209,20683792
transposition,1551,155833,37951334,19574625
transposition,1601,159708,37068750,14054750
transposition,1651,170792,35921834,31045042
transposition,1701,169375,38692125,16317084
transposition,1751,181042,41587792,19684709
